Location Name,Type,Space Category,Neighborhood,Feasibility Score,Contact Info,Booking Link,IG/Social Link,Why It's Interesting,Capacity Estimate
Chinatown Gateway and Wentworth Ave,Outdoor,architectural landmark,Chinatown,7,,,chicagoccia,"Bustling street level anchored by an immense, intricately painted traditional gateway.",Varies
18th Street Bridge (Pilsen Overlook),Outdoor,public art,Pilsen,10,,,,"A gritty vantage point looking over active rail yards, factories, and the distant skyline.",Varies
Kinzie Street Railroad Bridge,Outdoor,architectural landmark,River North,10,,,,A massive rust-covered steel bridge permanently raised in the air like a monument.,Varies
North Avenue Beach Pier,Outdoor,waterfront,Lincoln Park,9,permit@chicagoparkdistrict.com,,,"A hook-shaped concrete pier stretching far into the lake, offering an isolated, dramatic city backdrop.",Varies
Belmont Harbor (Concrete Wave Breakers),Outdoor,waterfront,Lakeview,10,permit@chicagoparkdistrict.com,,,"Aggressive, blocky concrete ledges designed to shatter waves, providing a surreal, brutalist coastline.",Varies
Diversey Harbor (Inlet),Outdoor,waterfront,Lincoln Park,9,permit@chicagoparkdistrict.com,,,"A tranquil, highly enclosed pocket of water surrounded by dense trees and concrete walls.",Varies
Lincoln Park Conservatory Formal Garden,Outdoor,garden,Lincoln Park,9,permit@chicagoparkdistrict.com,,lincolnparkconservancy,"A highly manicured, fiercely geometric French-style garden with a looming fountain.",Varies
Oz Park (Statues),Outdoor,park,Lincoln Park,9,permit@chicagoparkdistrict.com,,,"Strange, slightly unsettling metallic statues of Wizard of Oz characters scattered among towering trees.",Varies
Garfield Park (Gold Dome Exterior),Outdoor,architectural landmark,East Garfield Park,8,permit@chicagoparkdistrict.com,,,Massive Spanish baroque architecture topped with an inexplicably grand gold dome.,Varies
Douglas Park (Stone Bridges),Outdoor,park,North Lawndale,9,permit@chicagoparkdistrict.com,,,"Features highly textured, romantic crumbling stone bridges traversing slow-moving scenic lagoons.",Varies
Humboldt Park (Formal Garden),Outdoor,garden,Humboldt Park,9,permit@chicagoparkdistrict.com,,,"A perfectly circular, sunken outdoor room enclosed by dense, sweeping prairie style landscaping.",Varies
Churchill Field (The 606 Elevated Platform),Outdoor,park,Bucktown,10,permit@chicagoparkdistrict.com,,the606chicago,A raised vantage point observing the neighborhood grid from the height of the train lines.,Varies
Jane Addams Memorial Park (Ohio St Beach),Outdoor,park,Streeterville,9,permit@chicagoparkdistrict.com,,,A small triangle of green space squeezed between high-speed traffic and endless water.,Varies
Ogden Slip,Outdoor,waterfront,Streeterville,9,,,,"A narrow, highly enclosed canal surrounded entirely by towering red brick warehouse architecture.",Varies
Wolf Point,Outdoor,waterfront,River North,9,,,,"The exact nexus where the three branches of the river collide, flanked by glass monoliths.",Varies
Lower Wacker Drive,Outdoor,architectural landmark,Loop,8,,,,"Famous subterranean multi-lane road offering a dystopian, echoing underworld entirely of concrete.",Varies
Marina City (Riverside Plaza),Outdoor,architectural landmark,River North,8,,,marinacitychicago,Curved concrete aprons clinging to the water at the base of the iconic 'corn cob' towers.,Varies
Aon Center Plaza (Sunken Area),Outdoor,architectural landmark,Loop,8,,,,"An entirely white, highly minimalist sunken basin featuring brutal geometric shapes.",Varies
Federal Plaza,Outdoor,public art,Loop,8,,,,"A stark plaza dwarfed by black steel skyscrapers and anchored by an imposing, aggressive red iron structure.",Varies
Congress Parkway Interchange,Outdoor,architectural landmark,Loop,10,,,,"A massive, swooping concrete opening in the side of a building where high-speed traffic bursts through.",Varies
Printers Row (Dearborn Station Exterior),Outdoor,historic building,South Loop,10,,,,A bizarre Romanesque clocktower capping an intensely red brick streetscape.,Varies
Chicago Riverwalk (Under the bridges),Outdoor,architectural landmark,Loop,9,chicagoriverwalk@cityofchicago.org,,chicagoriverwalk,"Acoustically intense, heavily shadowed concrete rooms existing directly beneath the massive gears of drawbridges.",Varies
Jackson Park (Republic Statue area),Outdoor,public art,Woodlawn,9,permit@chicagoparkdistrict.com,,,"A towering golden statue dominating an otherwise desolate, sprawling historic traffic circle.",Varies
The Hideout (Daytime Historic Structure/Exterior),Indoor,historic building,Noble Square,7,booking@hideoutchicago.com,hideoutchicago.com,hideoutchicago,A literal balloon-frame 19th-century house surrounded in an industrial snowplow graveyard; fascinating during off-hours.,50
Elks National Memorial Building (Rotunda),Indoor,architectural landmark,Lincoln Park,5,,,elksmemorial,"Features one of the most stunning, overwhelmingly massive and ornate marble domes in the entire country.",150
James R. Thompson Center (Hollow Atrium),Indoor,architectural landmark,Loop,6,,,,"A postmodern, massive spaceship-like glass atrium offering insane interior lines and scale.",Varies
Aon Center (70th Floor Empty Space),Indoor,architectural landmark,Loop,4,events@aoncenter.info,,,"Completely empty, raw high-rise skyscraper floor offering panoramic, unobstructed 360-degree concrete and glass views.",Varies
Fine Arts Building (The Dial Bookshop),Indoor,store,Loop,7,info@dialbookshop.com,,dialbookshop,"Overlooking Michigan Ave, packed with floor-to-ceiling vintage books and bathed in dark woods and warm light.",30
Fine Arts Building (10th Floor Mural Corridors),Indoor,historic building,Loop,7,,,fineartsbuilding,"Ancient, incredibly well-preserved painted murals flank a very narrow, moody 19th-century hallway.",Varies
The Rookery Building (Oriel Staircase),Indoor,architectural landmark,Loop,6,events@therookerybuilding.com,https://therookerybuilding.com,therookerybuilding,"A terrifyingly beautiful, spiraling wrought-iron staircase that looks suspended completely in mid-air.",Varies
Garfield Park Conservatory (Desert House),Indoor,immersive exhibit,East Garfield Park,8,rentals@garfieldpark.org,,garfieldparkconservatory,"Stark sand and massive, looming, alien-like cacti and succulents under geometric glass.",100
Ling Shen Ching Tze Temple,Indoor,church,Bridgeport,6,,,,A majestic multi-level Buddhist temple housed confusingly inside an old Presbyterian church brick facade.,100
Roosevelt University Library (Auditorium Building Reading Room),Indoor,library,Loop,5,,,rooseveltulibrary,"Colossal arches, warm woods, and historic stenciling overlooking the lake in a heavily silent atmosphere.",100
190 South LaSalle (The Lobby Library),Indoor,library,Loop,5,,,,"Features dramatic, overpowering multi-story gold vaulted ceilings casting a dark, glowing ambiance.",Varies
311 South Wacker (Winter Garden),Indoor,immersive exhibit,Loop,6,,,,"Massive palm trees surround a glowing, surreal luminescent fountain inside a vast glass enclosure.",Varies
Lakeside Center at McCormick Place (East Building Empty Glass Halls),Indoor,architectural landmark,Near South Side,4,sales@mccormickplace.com,,mccormickplace,"Colossal, echoing empty convention halls heavily bordered by brutal black steel and an endless lake horizon.",Varies
Nichols Tower at Homan Square (Top Floor Event Space),Indoor,adaptive reuse,North Lawndale,8,info@fshn.org,,,The 14th-floor observatory of the original 1905 Sears Tower featuring arched windows and stark urban views.,50
South Shore Cultural Center (Paul Robeson Theater),Indoor,historic building,South Shore,5,,,,"An abandoned-feeling, highly ornate historic theater showing dramatic signs of layered, beautiful neglect.",150
The Forum,Indoor,historic building,Bronzeville,7,info@theforumbronzeville.com,,theforumbronzeville,"An 1889 assembly hall under slow restoration, revealing unbelievable layers of peeling wallpaper and history.",150
The Wabash YMCA (Bronzeville - historic gym/pool),Indoor,historic building,Bronzeville,6,,,,Historically significant Renaissance Revival structure featuring a long-empty old-world gymnasium.,100
The Anthony Overton Elementary School,Indoor,architectural landmark,Bronzeville,7,,,overtonuninc,"A highly striking abandoned modernist school heavily repurposed for chaotic, colorful art installations.",Varies
The Chicago Board Options Exchange (Trading Floor),Indoor,architectural landmark,Loop,3,,,,Absolutely chaotic and massive brutalist architecture filled with outdated tech when completely empty.,Varies
The Old Post Office (The Telegram Lounge),Indoor,adaptive reuse,Loop,8,events@post433.com,,post433,"A mid-century brutalist vibe featuring moody lighting, low leather couches, and geometric ceilings.",80
Water Tower Pumping Station (Interior pipes),Indoor,industrial,River North,5,,,,"A subterranean limestone structure containing intensely loud, multi-story active blue steel water pumps.",Varies
Harold Washington Library (The 9th Floor Gallery),Indoor,library,Loop,6,,,chipublib,"Highly angular, imposing geometric hallways entirely dominated by intense, severe red lighting and metal panels.",Varies
Newberry Library (The Retiring Room),Indoor,library,Near North Side,6,events@newberry.org,,newberrylibrary,"An anachronistic, highly stylized, dark Victorian parlor explicitly designed for absolute quiet.",20
Madonna della Strada Chapel (Loyola Univ),Indoor,church,Rogers Park,5,,,loyolachicago,Stunning Art Deco maritime-influenced church perched literally on the violent edge of the lake.,150
University of Chicago (Harper Memorial Library Reading Room),Indoor,library,Hyde Park,6,,,uchicagolibrary,Hogwarts-esque towering limestone arches framing massive chandeliers and an unending sea of dark wood.,Varies
University of Chicago (Bond Chapel),Indoor,church,Hyde Park,6,,,,"Tiny, intensely intricate and heavily wooded Gothic chapel overflowing with dark, detailed stained glass.",40
The Blackstone Hotel (Crystal Ballroom),Indoor,historic building,South Loop,7,,,theblackstonehotel,An oppressively ornate Beaux-Arts ballroom featuring heavy drapery and excessive crystal.,200
The Congress Plaza Hotel (Gold Room),Indoor,historic building,Loop,7,,,,"Infamously haunted ballroom featuring bizarrely ornate, almost decaying golden plasterwork.",250
The Drake Hotel (Palm Court),Indoor,historic building,Gold Coast,7,,,thedrakehotel,"Vast, opulent tea room dominated by an enormous, intricately carved limestone fountain.",100
The Reliance Building (Stairwell/Lobby),Indoor,architectural landmark,Loop,6,,,,"The first skyscraper to use large plate glass, creating highly disorienting, stark white terra cotta interiors.",Varies
The Woman's Athletic Club,Indoor,private club,Near North Side,3,,,,An impossible to penetrate fortress of perfectly preserved 1920s French-influenced excess.,100
The Union League Club of Chicago (Library),Indoor,private club,Loop,4,,,ulcchicago,"A profoundly quiet, old-money multi-story library stacked end to end with rare books and oil portraits.",100
The Chicago Athletic Association (White City Ballroom),Indoor,historic building,Loop,7,events@chicagoathletichotel.com,,chicagoathletichotel,Features stalactite-like plaster ceilings and enormous gothic fireplaces overlooking the park.,250
The Fisher Building (Lobby),Indoor,architectural landmark,Loop,6,,,,"A bizarre, neo-gothic lobby densely packed with yellow terra cotta carvings of mythical aquatic creatures.",Varies
The Manhattan Building (Lobby),Indoor,architectural landmark,Loop,5,,,,"One of the oldest surviving steel-framed skyscrapers, featuring extremely dark, claustrophobic granite halls.",Varies
The McCormick Place (Underground busways),Indoor,architectural landmark,Near South Side,3,,,,"Endless, echoing, brightly lit concrete tunnels running for miles beneath the convention centers.",Varies
Museum of Science and Industry (The Coal Mine exhibit),Indoor,immersive exhibit,Hyde Park,4,specialevents@msichicago.org,,msichicago,"A painstakingly recreated subterranean coal mine that is eerily dark, cramped, and textured.",40
Rainbow Beach water filtration plant (Interior),Indoor,industrial,South Shore,2,,,,"A sprawling mid-century modernist municipal water facility filled with vast, humming machinery rooms.",Varies
Pullman National Monument (Clock Tower Building),Indoor,historic building,Pullman,7,pull_visitor_info@nps.gov,,pullmannationalmonument,A radically restored 1880s industrial manufacturing floor featuring pristine brick and massive skylights.,Varies
Given's Castle,Indoor,historic building,Beverly,5,,,,"An absurd, fully functional 1886 medieval-style limestone castle towering bizarrely over a residential area.",Varies
John H. Vanderpoel Art Association,Indoor,gallery,Beverly,6,info@vanderpoelartmuseum.org,,,"A strange, densely packed historic gallery of 19th-century oil paintings hidden above a park fieldhouse.",50
Columbus Park Refectory (Dance hall),Indoor,historic building,Austin,8,permit@chicagoparkdistrict.com,,,"A beautiful, decaying, wildly romantic Spanish Revival hall with gigantic arched windows looking at water.",100
Austin Town Hall Park (Indoor Theater),Indoor,theater,Austin,8,permit@chicagoparkdistrict.com,,,"A massive, brick neo-Georgian community complex modeled literally after Independence Hall.",200
Eckhart Park (Indoor fieldhouse),Indoor,historic building,West Town,8,permit@chicagoparkdistrict.com,,,A sprawling prairie-style complex boasting heavy dark woods and a beautifully grim indoor pool room.,Varies
Cook County Hospital (Restored Lobby / Harrison's),Indoor,adaptive reuse,Near West Side,7,,,,"Once an iconic decaying ruin, now a terrifyingly massive, meticulously restored Beaux-Arts hall.",Varies
Simone's,Indoor,adaptive reuse,Pilsen,8,info@simonesbar.com,,simonesbar,The architectural equivalent of a junkyard fever dream; built entirely from scavenged urban salvage.,100
Hector Duarte's Studio,Indoor,studio,Pilsen,6,,,,"A private artist studio where the entire massive facade and interior serves as a giant, surreal mural.",Varies
Art Institute of Chicago (Ryerson and Burnham Libraries),Indoor,library,Loop,5,,,artinstitutechi,"Hidden deep in the museum, a multi-tiered, strictly silent modernist library under a massive glass roof.",100
National Veterans Art Museum,Indoor,museum,Portage Park,7,info@nvam.org,,nvamuseum,"An intense juxtaposition of heavy, visceral war art hung against sterile, quiet community gallery walls.",100
Balzekas Museum of Lithuanian Culture,Indoor,museum,West Lawn,7,info@balzekasmuseum.org,,balzekasmuseum,"Features an impossibly dense, eerie collection of gothic medieval armor and forgotten Eastern European artifacts.",50
The Insect Asylum,Indoor,museum,Avondale,9,info@theinsectasylum.com,,theinsectasylum,An incredibly unsettling but beautiful collection of thousands of pinned insects and taxidermy dioramas.,40
Busy Beaver Button Museum,Indoor,museum,Logan Square,8,info@busybeaver.net,,busybeaverbuttonco,"Thousands of tiny, colorful historical buttons aggressively packed into a wildly vibrant room.",30
The Rebuilding Exchange,Indoor,warehouse,Bucktown,9,info@rebuildingexchange.org,,rxchicago,An absolutely sprawling industrial warehouse filled stacked to the ceiling with old salvaged doors and lumber.,Varies
The WasteShed,Indoor,warehouse,Humboldt Park,9,info@thewasteshed.com,,thewasteshed,"A chaotic, colorful cavern of endless creative reuse materials, fabrics, and eccentric junk.",30
Guild Row,Indoor,adaptive reuse,Avondale,8,hello@guildrow.co,https://www.guildrow.co,guildrow,"Multi-structure industrial compound heavily focused on raw masonry, woodshops, and massive textiles.",150
Bridgeport Art Center (Skyline Loft),Indoor,loft,Bridgeport,10,events@bridgeportart.com,https://bridgeportart.com,bridgeportartcenter,"18,000 square feet of completely open, raw timber loft space floating high above the industrial south side.",Varies
21c Museum Hotel (Galleries),Indoor,gallery,River North,8,chicago@21chotels.com,,21cchicago,Multi-level contemporary art museum wrapped inside an aggressively chic boutique hotel interior.,Varies
The Martin,Indoor,gallery,West Town,9,themartinchicago@gmail.com,,themartinchicago,"An intensely eclectic, DIY-friendly, wood-heavy artist gallery and storefront brimming with texture.",50
The Chicago Firehouse Restaurant,Indoor,adaptive reuse,South Loop,8,events@chicagofirehouse.com,,chicagofirehouse,A literal 1905 firehouse complete with beautifully glazed white brick and an original brass fire pole.,100
St. Volodymyr and Olha Ukrainian Catholic Church,Indoor,church,Ukrainian Village,6,,,,Breathtakingly ornate golden and aggressively bright frescoed walls radiating completely unexpected color.,Varies
St. Nicholas Ukrainian Catholic Cathedral,Indoor,church,Ukrainian Village,6,,,,"Patterned off the St. Sophia in Kyiv, boasting an astonishing 13 domes and deeply saturated interiors.",Varies
Holy Trinity Polish Catholic Church,Indoor,church,Noble Square,6,,,,"Intensely massive brick gothic church completely lacking columns, leaving an impossibly vast interior.",Varies
St. Stanislaus Kostka,Indoor,church,Noble Square,6,,,,"Known as the mother church of Polish parishes, dominating the skyline over the expressway with intense spires.",Varies
St. Alphonsus Church,Indoor,church,Lakeview,6,,,stalphonsuschicago,An impossibly beautiful blue gothic ceiling adorned with thousands of golden stars arching over stone walls.,Varies
Monastery of the Holy Cross,Indoor,church,Bridgeport,5,,,,An active Benedictine monastery featuring a soaring gothic chapel that feels incredibly severe and ancient.,Varies
Midwest Buddhist Temple,Indoor,church,Old Town,6,info@mbtchicago.org,,mbtchicago,"A stunning, deeply serene mid-century modern Japanese style temple hidden quietly among Victorian homes.",Varies
The Laramie State Bank (Interior Ruins),Indoor,architectural landmark,Austin,2,,,,"An absolutely magnificent, rotting Art Deco terra cotta building providing an unbelievable ruin aesthetic.",Varies
St. Agatha Catholic Church,Indoor,church,North Lawndale,6,,,,"Romanesque architecture featuring huge, imposing double spires and dramatic lighting angles.",Varies
St. Paul Catholic Church,Indoor,church,Pilsen,6,,,,"A very unusual, deeply wide and heavy brick church specifically built without any towering steeples.",Varies
The Flatiron Arts Building,Indoor,historic building,Wicker Park,8,,,flatironartsbuilding,"A fiercely chaotic, terrifyingly twisting labyrinth of hallways dripping with decades of artists' paint.",Varies
The Kehilath Anshe Ma'ariv Synagogue (Pilgrim Baptist Church Shell),Outdoor,historic building,Bronzeville,4,,,,"The burned-out, stabilized massive stone exterior walls of a Sullivan and Adler masterpiece standing as a ruin.",Varies
First Chicago Bank Building (Chase Tower Sunken Plaza),Outdoor,public art,Loop,8,,,,"A brutalist concrete plaza diving beneath street level, anchored by Marc Chagall's massive colorful mosaic.",Varies
The Nichols Bridgeway,Outdoor,architectural landmark,Loop,8,,,,"An impossibly long, aggressively modern white blade of a bridge cutting straight into the Art Institute.",Varies
Vietnam Veterans Memorial (Water Wall),Outdoor,public art,Loop,9,,,,"A severely stark, massive black granite wall continuously bleeding water into an echoing riverside basin.",Varies
Riverwalk (The Jetty),Outdoor,waterfront,Loop,9,,,chicagoriverwalk,A series of floating concrete piers intensely packed with wild wetland plants right under the massive skyscrapers.,Varies
Canal Street Railroad Underpasses,Outdoor,architectural landmark,Fulton Market,9,,,,"Relentless grids of colossal, deafeningly loud black steel columns supporting active freight trains above.",Varies
The Stockyard Gate,Outdoor,architectural landmark,Back of the Yards,9,,,,"A towering, incredibly grim limestone archway standing completely alone in the center of an industrial district.",Varies
Monument to the Great Northern Migration,Outdoor,public art,Bronzeville,9,,,,"An imposing bronze statue standing fiercely at the entrance of Bronzeville, exuding immense historical gravity.",Varies
South Side Community Art Center (Exterior courtyard),Outdoor,historic building,Bronzeville,8,,,sscac_chi,"Classic Georgian revival architecture sharply mixed with dense, textured modernist outdoor art installations.",Varies
Prairie Avenue Historic District (Cobblestones),Outdoor,historic building,South Loop,9,,,,A perfectly preserved strip of authentic cobblestone streets lined exclusively by gigantic Gilded Age mansions.,Varies
Kenwood historic mansions (Exterior streets),Outdoor,historic building,Kenwood,9,,,,"Incredibly wide, heavily forested neighborhood streets flanked by sprawling, absurdly vast residential compounds.",Varies
The Richard J. Daley Center (Plaza),Outdoor,public art,Loop,8,,,,"A relentlessly barren, windswept granite plaza fiercely guarded by an absolutely massive rusted Picasso sculpture.",Varies
LaSalle Street Canyon (Ceres Statue view),Outdoor,architectural landmark,Loop,9,,,,"A deeply shadowy, intensely dark canyon formed by sheer walls of high-finance architecture ending in an Art Deco monolith.",Varies
57th Street Beach (Underpass with murals),Outdoor,public art,Hyde Park,9,,,,"A deeply arched, incredibly long stone tunnel extensively coated in vivid, layered community painted scenes.",Varies
Jackson Park Wooded Island (Nature trails),Outdoor,nature preserve,Hyde Park,9,,,,"Densely untamed, completely isolated dirt paths that make the city skyline completely magically vanish.",Varies
The Columbia Basin (Jackson Park),Outdoor,waterfront,Hyde Park,9,,,,"The sprawling, highly structured reflecting pool remaining directly from the center of the 1893 World's Fair.",Varies
Calumet Park (Lakefront),Outdoor,waterfront,East Side,9,,,,"Sweeping views of apocalyptic steel mills contrasting fiercely with pristine, icy Lake Michigan waves.",Varies
Big Marsh Park (Eco paths),Outdoor,nature preserve,South Deering,9,,,bigmarshchicago,"A surreal, highly transformed landscape of massive black steel slag paths cutting directly through wild green marshland.",Varies
Marian R. Byrnes Park,Outdoor,nature preserve,South Deering,9,,,,"A massive, very rarely visited urban wilderness dotted with gigantic man-made hills of rocky industrial waste.",Varies
The Dan Ryan Woods (The aqueducts),Outdoor,park,Beverly,9,,,,"Heavy, ancient-looking limestone aqueducts heavily cutting through very dense timber forests on a high ridge.",Varies
The Ridge Historic District,Outdoor,historic building,Beverly,10,,,,"A profoundly un-Chicago, winding heavily forested, steeply sloping road flanked by massive historic estates.",Varies
The Western Avenue Overpass (The 606),Outdoor,architectural landmark,Bucktown,9,,,the606chicago,"An intensely aggressive, wide concrete bridge offering dramatic overpasses crossing over extremely chaotic traffic.",Varies
The Bloomingdale Trail (Observatory),Outdoor,park,Humboldt Park,9,,,the606chicago,"A fiercely modern, spiraling grassy hillside expressly built to act as a neighborhood celestial observatory.",Varies
Wicker Park (The central fountain),Outdoor,park,Wicker Park,9,,,wickerparkchicago,A heavily ornate historic cast-iron fountain surrounded entirely by fiercely angular Victorian mansions.,Varies
The Robey (The Cabana Club rooftop),Outdoor,rooftop,Wicker Park,8,events@therobey.com,therobey.com,therobeychicago,An impossibly distinct triangular pool deck completely dominating the chaotic intersection of three major avenues.,Varies
Lincoln Park Zoo (Honeycomb pavilion),Outdoor,architectural landmark,Lincoln Park,8,events@lpzoo.org,,lincolnparkzoo,"Studio Gang designed incredibly swooping, massive wooden honeycomb pod framing the water and skyscrapers.",Varies
Oak Street Beach (Pedestrian tunnel),Outdoor,public art,Gold Coast,9,,,,"An incredibly long, deeply shadowy concrete tube fiercely leading the roaring city straight onto the bright beach.",Varies
The Lakefront Trail (Chess Pavilion),Outdoor,architectural landmark,Lincoln Park,9,,,,An extremely brutalist exposed concrete cantilever jutting confidently right out over the crashing lake water.,Varies
Montrose Harbor (The docks),Outdoor,waterfront,Uptown,9,,,,"A sprawling, jagged maze of metallic boating slips staring directly down the massive skyline profile.",Varies
Alta Vista Terrace,Outdoor,historic building,Wrigleyville,10,,,,"A terrifyingly perfect, extremely narrow street of exact replica London rowhouses completely out of place in space.",Varies
Peggy Notebaert Nature Museum (Judy Istock Butterfly Haven),Indoor,immersive exhibit,Lincoln Park,8,events@naturemuseum.org,naturemuseum.org,naturemuseum,"A stunning, humid, 2,700-square-foot glass greenhouse filled with over 1,000 fluttering butterflies and exotic flowers.",100
Auditorium Theatre (Ganz Hall at Roosevelt University),Indoor,historic building,Loop,6,events@roosevelt.edu,roosevelt.edu,rooseveltulibrary,"A highly intimate, wildly ornate Sullivan/Wright designed recital hall completely covered in intricate gold stenciling and wood.",150
University Club of Chicago (Cathedral Hall),Indoor,private club,Loop,3,,,ucco1887,"Soaring, towering gothic stained glass windows mimicking a medieval cathedral housed entirely within a private club.",200
The Fortnightly of Chicago (Lathrop House),Indoor,private club,Gold Coast,4,info@fortnightlychicago.org,,,"A perfectly manicured, deeply silent Georgian Revival mansion bursting with antique feminine elegance and floral wallpapers.",80
Firehouse Chicago,Indoor,adaptive reuse,Edgewater,9,events@firehousechicago.com,firehousechicago.com,firehousechicago,"A beautifully restored vintage firehouse featuring exposed white brick, antique tin ceilings, and massive arched bay doors.",100
St. Mary of the Angels (Main Sanctuary),Indoor,church,Bucktown,6,,,stmaryoftheangels,"Topped by a gigantic Renaissance-style dome that baths the intensely wide, sweeping nave in holy sunlight.",Varies
The Geraghty,Indoor,warehouse,Pilsen,9,events@thegeraghty.com,thegeraghty.com,thegeraghty,"A massive, hyper-modern, completely open warehouse explicitly designed to be a blank canvas for aggressive architectural lighting.",500
Wrigley Building (Breezeway & North Lobby),Indoor,architectural landmark,Near North Side,6,,,thewrigleybuilding,"Pristine, violently bright white terra cotta arcades leading into a deeply rich, highly polished brass and wood lobby.",Varies
Chicago History Museum (Diorama Hall),Indoor,museum,Lincoln Park,6,events@chicagohistory.org,,chicagohistory,"A dark, highly retro, mood-lit corridor lined with deeply detailed, unsettling 1930s miniature historical dioramas.",Varies
The Money Museum (Historic Vault),Indoor,museum,Loop,5,,,,Deeply subterranean Federal Reserve exhibit featuring a monolithic solid steel bank vault door protecting billions.,30
Ping Tom Memorial Park (Fieldhouse),Indoor,cultural center,Chinatown,8,permit@chicagoparkdistrict.com,,,Striking contemporary adaptation of traditional Chinese architecture surrounding a completely sleek glass indoor pool.,100
Chicago Cultural Center (Washington Street Lobby & Mosaic Stairs),Indoor,historic building,Loop,6,,,chicagoculturalcenter,"Sweeping, terrifyingly grand Carrara marble staircases completely encrusted in glittering neo-Byzantine mosaics.",Varies
The Palmer House Hilton (Grand Lobby Ceiling),Indoor,historic building,Loop,7,,,palmerhousehilton,"Lounge under a dizzying, deeply opulent vaulted ceiling entirely covered in hand-painted Greek mythology frescoes.",Varies
The Drake Hotel (Gold Coast Room),Indoor,historic building,Gold Coast,7,,,thedrakehotel,"An incredibly regal, colonnaded ballroom overlooking the lake that drips with 1920s high society exclusivity.",Varies
Chicago Athletic Association (Stagg Observatory/Drawing Room),Indoor,historic building,Loop,7,events@chicagoathletichotel.com,,chicagoathletichotel,"A darkly lit, masculine parlor boasting heavy oak panelling and towering Gothic windows facing the park.",100
Freehand Chicago (Lobby Lounge),Indoor,adaptive reuse,River North,8,events@freehandhotels.com,,freehandchicago,"Ultra-hip, meticulously stylized bohemian decor blending extreme dark wood with vivid, vintage South American textiles.",100
The Allerton Hotel (Tip Top Tap - Abandoned Feel),Indoor,historic building,Near North Side,5,,,warwickallerton,"A legendary, long-closed 1940s skyscraper lounge that still intensely radiates Sinatra-era ghost vibes high above the city.",Varies
St. Ignatius College Prep (Tully Hall),Indoor,library,Near West Side,5,,,stignatiuschicago,Impeccably preserved 1870s woodwork and towering arched bookcases make this feel like a deep academic sanctuary.,Varies
Lane Tech College Prep (Auditorium & Murals),Indoor,theater,Roscoe Village,4,,,,"A gigantic, 2,000-seat public school auditorium heavily lined with absolutely massive New Deal-era WPA fresco murals.",Varies
Schurz High School (Prairie Style Interior),Indoor,historic building,Irving Park,4,,,,An architectural rarity; an entire colossal public high school fully embodying Frank Lloyd Wright's prairie aesthetic.,Varies
Fourth Presbyterian Church (Sanctuary),Indoor,church,Streeterville,6,,,fourthpreschicago,"Monolithic Gothic Revival stone pillars climbing to a stunning, dramatically sloped carved wooden ceiling.",Varies
St. Hedwig Catholic Church,Indoor,church,Bucktown,6,,,,Astonishingly ornate 'Polish Cathedral' style emphasizing deep gold trim and intensely vivid stained glass.,Varies
Our Lady of Mount Carmel Church,Indoor,church,Lakeview,6,,,ourladyofmountcarmelchi,"Deep reds and intense wood paneling provide a much tighter, more visceral gothic feeling than larger cathedrals.",Varies
Rockefeller Memorial Chapel (Main Nave),Indoor,church,Hyde Park,6,events@uchicago.edu,,ucrockefeller,"Towering, brooding stone walls culminating in a terrifyingly massive Gothic vaulted ceiling that dominates the university.",Varies
Epiphany Center for the Arts (Catacombs),Indoor,adaptive reuse,West Loop,9,events@epiphanychi.com,epiphanychi.com,epiphanyartscenter,"A rugged, completely subterranean stone basement with ultra-low ceilings and moody track lighting.",100
Bridgeport Art Center (Sculpture Garden Gallery),Indoor,gallery,Bridgeport,9,events@bridgeportart.com,bridgeportart.com,bridgeportartcenter,"An endlessly long, stark white corridor heavily lined with monolithic raw structural wood columns.",Varies
Renaissance Society,Indoor,gallery,Hyde Park,6,info@renaissancesociety.org,,rensociety,"A high, stark, dramatically lit vaulted gallery hidden completely inside one of the campus's oldest gothic buildings.",Varies
Space 1858,Indoor,storefront,West Town,10,info@space1858.com,space1858.com,space1858,"An aggressively simple, hyper-clean white box storefront designed specifically for total photographic control.",40
Ed Debevic's (Retro Diner Interior),Indoor,restaurant,Streeterville,7,,,eddebevics,"A completely overwhelming, neon-drenched sensory overload perfectly mimicking a 1950s retro diner aesthetic.",150
Margie's Candies (Vintage Ice Cream Parlor),Indoor,restaurant,Logan Square,5,,,,"Completely untouched 1920s interior featuring tiny booths, ancient Tiffany lamps, and peeling vintage sweetness.",30
The Berghoff (Historic Dining Room),Indoor,restaurant,Loop,6,,,berghoffchicago,"An endless sea of dark mahogany, stained glass, and terrifyingly efficient German pub aesthetics.",Varies
Walnut Room (Macy's State Street),Indoor,restaurant,Loop,6,,,,"Circassian walnut paneling and towering ceilings provide an intensely regal, old-world department store grandeur.",Varies
Cherry Circle Room (CAA),Indoor,restaurant,Loop,8,,,cherrycircleroom,"A windowless, intimately dark, wildly stylized mid-century modern dining room feeling like a perfect Mad Men set.",60
Museum of Contemporary Art (Interior Stairwell),Indoor,museum,Streeterville,6,events@mcachicago.org,,mcachicago,"A violently sharp, intensely white minimalist spiral staircase that physically mimics the inside of a nautilus shell.",Varies
National Museum of Puerto Rican Arts and Culture,Indoor,museum,Humboldt Park,7,info@nmprac.org,,nmprac,Exhibits housed inside a dramatically gorgeous Queen Anne-style former stable building deep inside the park.,100
